국가,CO2,기대수명
세계,4.5,72.3
대한민국,12.2,83.3
아프가니스탄,0.1,63
아르메니아,1.8,74.9
아제르바이잔,3.2,72.2
바레인,20.4,79.7
방글라데시,0.5,71.8
부탄,1.3,70.8
브루나이,17.2,74.7
캄보디아,0.8,70.5
중국,7.2,77.2
키프로스,6.2,81.3
조지아,2.6,73.6
인도,1.7,70.5
인도네시아,2,69.9
이란,7.8,76
이라크,4.1,70.4
이스라엘,7.5,82.7
일본,9.1,84.2
요르단,2.7,75.5
카자흐스탄,11.9,71.4
북한,2.1,73
쿠웨이트,22.4,79.8
키르기스스탄,1.5,70.6
라오스,2.7,67.4
레바논,4.3,79.7
말레이시아,7.3,75.5
몰디브,3.7,79.9
몽골,6.3,70.2
미얀마,0.6,65.8
네팔,0.5,68.9
오만,15.4,77.9
파키스탄,1,66.3
필리핀,1.3,71.5
카타르,32.1,80.7
사우디아라비아,16.5,77.2
싱가포르,8.8,83.2
스리랑카,1.1,75.4
시리아,1.7,68.5
타지키스탄,0.8,69.9
태국,3.7,78.4
튀르키예,5.1,77.1
투르크메니스탄,12.7,68.9
아랍에미리트,20.8,79.5
우즈베키스탄,3.4,71
베트남,2.4,74
예멘,0.4,66
캐나다,15.5,82
멕시코,3.8,74.1
미국,14.8,78.8
앤티가바부다,5.2,78.3
아르헨티나,4.1,76.8
바하마,5.7,73.6
바베이도스,4.1,76.9
벨리즈,1.7,73.6
볼리비아,2,67.7
브라질,2.2,74.8
칠레,4.7,80.4
콜롬비아,1.5,76.6
코스타리카,1.7,79.4
쿠바,2.3,77.5
도미니카연방,2.4,67.5
도미니카공화국,2.2,73.1
에콰도르,2.3,77
엘살바도르,1,72.3
그레나다,2.6,74.8
과테말라,1,72.6
가이아나,3.2,68.7
아이티,0.3,63.9
온두라스,1,72.7
자메이카,2.5,71.9
니카라과,0.9,73.6
파나마,2.5,77.8
파라과이,1.2,73.6
페루,1.7,75.9
세인트키츠네비스,4.6,71.8
세인트루시아,2.9,73.1
세인트빈센트그레나딘,2.1,74.3
수리남,4.4,72.4
트리니다드토바고,13.2,74.2
우루과이,1.8,77.6
베네수엘라,4.8,71.9
알바니아,1.8,79
안도라,6.1,83
오스트리아,7.5,81.6
벨라루스,5.9,74.5
벨기에,8.2,81.4
불가리아,6.2,74.8
크로아티아,4.2,78.1
체코,9.6,79
덴마크,5.7,81.1
에스토니아,12.7,78
핀란드,7.8,81.5
프랑스,4.7,82.5
독일,8.9,80.9
그리스,6.2,80.9
헝가리,4.7,76
아이슬란드,4.9,82.5
아일랜드,7.9,81.9
이탈리아,5.4,82.7
라트비아,3.7,74.8
리히텐슈타인,4.2,83.9
리투아니아,4,75.4
룩셈부르크,15.1,81.7
북마케도니아,3.8,76.5
몰타,3.2,83.6
몰도바,2.9,70.5
네덜란드,9.1,81.7
노르웨이,7.1,82.6
폴란드,8.2,77.7
포르투갈,5.2,81.5
루마니아,3.8,76
러시아,11,73.4
슬로바키아,6.2,77.2
슬로베니아,6.8,81.1
스페인,5.7,83
스웨덴,3.8,82.4
스위스,4.6,83.4
우크라이나,3.9,74.7
영국,5.6,81.2
몬테네그로,3.6,76.9
세르비아,6.7,76.2
알제리,3.8,75.7
앙골라,0.8,61.7
베냉,0.6,59.9
보츠와나,3.3,66.8
부르키나파소,0.2,59.5
부룬디,0,61.6
카메룬,0.4,60.8
카보베르데,1.1,76.6
중앙아프리카공화국,0,53.7
차드,0.1,52.3
코모로,0.3,63.6
콩고,1.1,63.8
콩고민주공화국,0,59.4
코트디부아르,0.4,58.5
지부티,0.4,62.8
이집트,2.5,71.3
적도기니,4.6,60.8
에리트레아,0.2,66.6
에티오피아,0.1,64.8
가봉,2.6,66.2
감비아,0.2,63
가나,0.6,64
기니,0.3,59.1
기니비사우,0.2,60.1
케냐,0.4,62.5
레소토,0.3,53.1
라이베리아,0.3,60.6
리비아,8.4,72.5
마다가스카르,0.1,65.1
말라위,0.1,63
말리,0.3,59.1
모리타니,0.8,65.1
모리셔스,3.3,74.9
모로코,1.8,73.7
모잠비크,0.3,59.8
나미비아,1.8,62.3
니제르,0.1,62.2
나이지리아,0.6,52.3
르완다,0.1,65.9
상투메프린시페,0.7,68.3
세네갈,0.6,67.8
세이셸,6.1,73.8
시에라리온,0.1,58.7
소말리아,0,55.7
남아프리카공화국,7.6,65.4
남수단,0.1,55.3
수단,0.5,65.4
에스와티니,0.8,57.9
탄자니아,0.2,66
토고,0.3,60.2
튀니지,2.6,75.8
우간다,0.1,62.1
잠비아,0.4,62.1
짐바브웨,0.7,60.7
오스트레일리아,15.8,83
피지,1.9,67.8
키리바시,0.8,66.6
마셜제도,3.1,64.3
미크로네시아,1.6,71.5
나우루,6.6,63
뉴질랜드,6.8,82.2
팔라우,14.6,64.1
파푸아뉴기니,0.9,65.1
사모아,1.6,72.6
솔로몬제도,0.6,70
통가,1.8,70.7
투발루,0.9,64.1
바누아투,0.6,69.7