국가,GNI,CO2,기대수명
대한민국,30300,12.2,83.3
아프가니스탄,530,0.1,63
아르메니아,3950,1.8,74.9
아제르바이잔,4110,3.2,72.2
바레인,21250,20.4,79.7
방글라데시,1670,0.5,71.8
부탄,2800,1.3,70.8
브루나이,29800,17.2,74.7
캄보디아,1230,0.8,70.5
중국,8670,7.2,77.2
키프로스,24960,6.2,81.3
조지아,4040,2.6,73.6
인도,1820,1.7,70.5
인도네시아,3530,2,69.9
이란,5750,7.8,76
이라크,4640,4.1,70.4
이스라엘,37970,7.5,82.7
일본,38930,9.1,84.2
요르단,4080,2.7,75.5
카자흐스탄,8040,11.9,71.4
쿠웨이트,31400,22.4,79.8
키르기스스탄,1110,1.5,70.6
라오스,2260,2.7,67.4
레바논,7460,4.3,79.7
말레이시아,9950,7.3,75.5
몰디브,8600,3.7,79.9
몽골,3240,6.3,70.2
미얀마,1180,0.6,65.8
네팔,990,0.5,68.9
오만,16130,15.4,77.9
파키스탄,1490,1,66.3
필리핀,3530,1.3,71.5
카타르,56920,32.1,80.7
사우디아라비아,19990,16.5,77.2
싱가포르,54590,8.8,83.2
스리랑카,3870,1.1,75.4
시리아,820,1.7,68.5
타지키스탄,1030,0.8,69.9
태국,5970,3.7,78.4
튀르키예,10970,5.1,77.1
투르크메니스탄,6380,12.7,68.9
아랍에미리트,39280,20.8,79.5
우즈베키스탄,2470,3.4,71
베트남,2700,2.4,74
예멘,1080,0.4,66
캐나다,42900,15.5,82
멕시코,8920,3.8,74.1
미국,59250,14.8,78.8
앤티가바부다,14320,5.2,78.3
아르헨티나,13140,4.1,76.8
바하마,30580,5.7,73.6
바베이도스,16090,4.1,76.9
벨리즈,4430,1.7,73.6
볼리비아,3090,2,67.7
브라질,8680,2.2,74.8
칠레,13260,4.7,80.4
콜롬비아,5940,1.5,76.6
코스타리카,11500,1.7,79.4
쿠바,7950,2.3,77.5
도미니카연방,7270,2.4,67.5
도미니카공화국,7090,2.2,73.1
에콰도르,5860,2.3,77
엘살바도르,3600,1,72.3
그레나다,8740,2.6,74.8
과테말라,4100,1,72.6
가이아나,5910,3.2,68.7
아이티,1340,0.3,63.9
온두라스,2250,1,72.7
자메이카,4750,2.5,71.9
니카라과,2030,0.9,73.6
파나마,13750,2.5,77.8
파라과이,5370,1.2,73.6
페루,6060,1.7,75.9
세인트키츠네비스,18530,4.6,71.8
세인트루시아,10060,2.9,73.1
세인트빈센트그레나딘,7460,2.1,74.3
수리남,5940,4.4,72.4
트리니다드토바고,16120,13.2,74.2
우루과이,15920,1.8,77.6
알바니아,4290,1.8,79
오스트리아,45040,7.5,81.6
벨라루스,5320,5.9,74.5
벨기에,42520,8.2,81.4
불가리아,7610,6.2,74.8
크로아티아,12980,4.2,78.1
체코,18310,9.6,79
덴마크,56690,5.7,81.1
에스토니아,18760,12.7,78
핀란드,44840,7.8,81.5
프랑스,38320,4.7,82.5
독일,43760,8.9,80.9
그리스,17960,6.2,80.9
헝가리,13190,4.7,76
아이슬란드,60230,4.9,82.5
아일랜드,53350,7.9,81.9
이탈리아,31380,5.4,82.7
라트비아,14870,3.7,74.8
리투아니아,15280,4,75.4
룩셈부르크,75800,15.1,81.7
북마케도니아,4940,3.8,76.5
몰타,24710,3.2,83.6
몰도바,3330,2.9,70.5
네덜란드,47160,9.1,81.7
노르웨이,75650,7.1,82.6
폴란드,12730,8.2,77.7
포르투갈,20060,5.2,81.5
루마니아,10110,3.8,76
러시아,9210,11,73.4
슬로바키아,16620,6.2,77.2
슬로베니아,22140,6.8,81.1
스페인,27100,5.7,83
스웨덴,53030,3.8,82.4
스위스,81880,4.6,83.4
우크라이나,2360,3.9,74.7
영국,41880,5.6,81.2
몬테네그로,7410,3.6,76.9
세르비아,5570,6.7,76.2
알제리,3950,3.8,75.7
앙골라,2010,0.8,61.7
베냉,1090,0.6,59.9
보츠와나,6380,3.3,66.8
부르키나파소,670,0.2,59.5
부룬디,260,0,61.6
카메룬,1390,0.4,60.8
카보베르데,3080,1.1,76.6
중앙아프리카공화국,440,0,53.7
차드,640,0.1,52.3
코모로,1280,0.3,63.6
콩고,1700,1.1,63.8
콩고민주공화국,460,0,59.4
코트디부아르,2030,0.4,58.5
지부티,2730,0.4,62.8
이집트,3030,2.5,71.3
적도기니,6510,4.6,60.8
에티오피아,740,0.1,64.8
가봉,6510,2.6,66.2
감비아,660,0.2,63
가나,1880,0.6,64
기니,820,0.3,59.1
기니비사우,680,0.2,60.1
케냐,1510,0.4,62.5
레소토,1190,0.3,53.1
라이베리아,640,0.3,60.6
리비아,9900,8.4,72.5
마다가스카르,470,0.1,65.1
말라위,380,0.1,63
말리,770,0.3,59.1
모리타니,1530,0.8,65.1
모리셔스,10980,3.3,74.9
모로코,2880,1.8,73.7
모잠비크,470,0.3,59.8
나미비아,4620,1.8,62.3
니제르,520,0.1,62.2
나이지리아,2090,0.6,52.3
르완다,730,0.1,65.9
상투메프린시페,1700,0.7,68.3
세네갈,1280,0.6,67.8
세이셸,14660,6.1,73.8
시에라리온,520,0.1,58.7
소말리아,380,0,55.7
남아프리카공화국,5910,7.6,65.4
수단,2420,0.5,65.4
에스와티니,3390,0.8,57.9
탄자니아,970,0.2,66
토고,720,0.3,60.2
튀니지,3750,2.6,75.8
우간다,740,0.1,62.1
잠비아,1300,0.4,62.1
짐바브웨,1350,0.7,60.7
오스트레일리아,51480,15.8,83
피지,5370,1.9,67.8
키리바시,2930,0.8,66.6
마셜제도,4440,3.1,64.3
미크로네시아,3450,1.6,71.5
나우루,12310,6.6,63
뉴질랜드,38870,6.8,82.2
팔라우,16540,14.6,64.1
파푸아뉴기니,2590,0.9,65.1
사모아,4070,1.6,72.6
솔로몬제도,2220,0.6,70
통가,4590,1.8,70.7
투발루,5070,0.9,64.1
바누아투,2900,0.6,69.7