국가,GNI,기대수명
대한민국,30300,83.3
아프가니스탄,530,63
아르메니아,3950,74.9
아제르바이잔,4110,72.2
바레인,21250,79.7
방글라데시,1670,71.8
부탄,2800,70.8
브루나이,29800,74.7
캄보디아,1230,70.5
중국,8670,77.2
키프로스,24960,81.3
조지아,4040,73.6
홍콩,46380,84.9
인도,1820,70.5
인도네시아,3530,69.9
이란,5750,76
이라크,4640,70.4
이스라엘,37970,82.7
일본,38930,84.2
요르단,4080,75.5
카자흐스탄,8040,71.4
쿠웨이트,31400,79.8
키르기스스탄,1110,70.6
라오스,2260,67.4
레바논,7460,79.7
마카오,69950,84.6
말레이시아,9950,75.5
몰디브,8600,79.9
몽골,3240,70.2
미얀마,1180,65.8
네팔,990,68.9
오만,16130,77.9
파키스탄,1490,66.3
필리핀,3530,71.5
카타르,56920,80.7
사우디아라비아,19990,77.2
싱가포르,54590,83.2
스리랑카,3870,75.4
시리아,820,68.5
대만,25704,80.1
타지키스탄,1030,69.9
태국,5970,78.4
튀르키예,10970,77.1
투르크메니스탄,6380,68.9
아랍에미리트,39280,79.5
우즈베키스탄,2470,71
베트남,2700,74
예멘,1080,66
버뮤다,112940,82.4
캐나다,42900,82
멕시코,8920,74.1
미국,59250,78.8
앤티가바부다,14320,78.3
아르헨티나,13140,76.8
아루바,27740,75.9
바하마,30580,73.6
바베이도스,16090,76.9
벨리즈,4430,73.6
볼리비아,3090,67.7
브라질,8680,74.8
케이맨제도,52840,74.9
칠레,13260,80.4
콜롬비아,5940,76.6
코스타리카,11500,79.4
쿠바,7950,77.5
도미니카연방,7270,67.5
도미니카공화국,7090,73.1
에콰도르,5860,77
엘살바도르,3600,72.3
그레나다,8740,74.8
과테말라,4100,72.6
가이아나,5910,68.7
아이티,1340,63.9
온두라스,2250,72.7
자메이카,4750,71.9
니카라과,2030,73.6
파나마,13750,77.8
파라과이,5370,73.6
페루,6060,75.9
푸에르토리코,20000,79.3
세인트키츠네비스,18530,71.8
세인트루시아,10060,73.1
세인트빈센트그레나딘,7460,74.3
수리남,5940,72.4
트리니다드토바고,16120,74.2
터크스케이커스제도,26200,76.7
우루과이,15920,77.6
알바니아,4290,79
오스트리아,45040,81.6
벨라루스,5320,74.5
벨기에,42520,81.4
불가리아,7610,74.8
크로아티아,12980,78.1
체코,18310,79
덴마크,56690,81.1
에스토니아,18760,78
핀란드,44840,81.5
프랑스,38320,82.5
독일,43760,80.9
그리스,17960,80.9
헝가리,13190,76
아이슬란드,60230,82.5
아일랜드,53350,81.9
맨섬,78810,80.5
이탈리아,31380,82.7
코소보,3950,78.8
라트비아,14870,74.8
리투아니아,15280,75.4
룩셈부르크,75800,81.7
북마케도니아,4940,76.5
몰타,24710,83.6
몰도바,3330,70.5
네덜란드,47160,81.7
노르웨이,75650,82.6
폴란드,12730,77.7
포르투갈,20060,81.5
루마니아,10110,76
러시아,9210,73.4
슬로바키아,16620,77.2
슬로베니아,22140,81.1
스페인,27100,83
스웨덴,53030,82.4
스위스,81880,83.4
우크라이나,2360,74.7
영국,41880,81.2
몬테네그로,7410,76.9
세르비아,5570,76.2
알제리,3950,75.7
앙골라,2010,61.7
베냉,1090,59.9
보츠와나,6380,66.8
부르키나파소,670,59.5
부룬디,260,61.6
카메룬,1390,60.8
카보베르데,3080,76.6
중앙아프리카공화국,440,53.7
차드,640,52.3
코모로,1280,63.6
콩고,1700,63.8
콩고민주공화국,460,59.4
코트디부아르,2030,58.5
지부티,2730,62.8
이집트,3030,71.3
적도기니,6510,60.8
에티오피아,740,64.8
가봉,6510,66.2
감비아,660,63
가나,1880,64
기니,820,59.1
기니비사우,680,60.1
케냐,1510,62.5
레소토,1190,53.1
라이베리아,640,60.6
리비아,9900,72.5
마다가스카르,470,65.1
말라위,380,63
말리,770,59.1
모리타니,1530,65.1
모리셔스,10980,74.9
모로코,2880,73.7
모잠비크,470,59.8
나미비아,4620,62.3
니제르,520,62.2
나이지리아,2090,52.3
르완다,730,65.9
상투메프린시페,1700,68.3
세네갈,1280,67.8
세이셸,14660,73.8
시에라리온,520,58.7
소말리아,380,55.7
남아프리카공화국,5910,65.4
수단,2420,65.4
에스와티니,3390,57.9
탄자니아,970,66
토고,720,60.2
튀니지,3750,75.8
우간다,740,62.1
잠비아,1300,62.1
짐바브웨,1350,60.7
오스트레일리아,51480,83
피지,5370,67.8
키리바시,2930,66.6
마셜제도,4440,64.3
미크로네시아,3450,71.5
나우루,12310,63
뉴질랜드,38870,82.2
팔라우,16540,64.1
파푸아뉴기니,2590,65.1
사모아,4070,72.6
솔로몬제도,2220,70
통가,4590,70.7
투발루,5070,64.1
바누아투,2900,69.7