국가,GNI,인터넷,CO2,흡연율,기대수명
대한민국,30300,95.1,12.2,21.4,83.3
아제르바이잔,4110,79,3.2,24.2,72.2
바레인,21250,95.9,20.4,15.2,79.7
중국,8670,54.3,7.2,25.7,77.2
키프로스,24960,80.7,6.2,35.5,81.3
조지아,4040,59.7,2.6,31.7,73.6
인도,1820,18.2,1.7,28.1,70.5
인도네시아,3530,32.3,2,37.2,69.9
이란,5750,64,7.8,14,76
이라크,4640,49.4,4.1,18.8,70.4
이스라엘,37970,81.6,7.5,21.6,82.7
일본,38930,91.7,9.1,20.5,84.2
요르단,4080,64.5,2.7,34.6,75.5
카자흐스탄,8040,76.4,11.9,23.5,71.4
쿠웨이트,31400,98,22.4,17.9,79.8
키르기스스탄,1110,38.2,1.5,27.6,70.6
레바논,7460,78.2,4.3,38.4,79.7
말레이시아,9950,80.1,7.3,22.8,75.5
몽골,3240,23.7,6.3,29.6,70.2
오만,16130,80.2,15.4,7.9,77.9
파키스탄,1490,13.8,1,20.8,66.3
필리핀,3530,41.6,1.3,23.4,71.5
카타르,56920,97.4,32.1,12,80.7
사우디아라비아,19990,94.2,16.5,14.2,77.2
싱가포르,54590,84.5,8.8,16.6,83.2
스리랑카,3870,21.3,1.1,22.3,75.4
태국,5970,52.9,3.7,22.5,78.4
튀르키예,10970,64.7,5.1,30.9,77.1
투르크메니스탄,6380,21.3,12.7,5.8,68.9
우즈베키스탄,2470,48.7,3.4,17.8,71
베트남,2700,58.1,2.4,25,74
예멘,1080,26.7,0.4,20.5,66
캐나다,42900,92.7,15.5,13.6,82
멕시코,8920,63.9,3.8,13.4,74.1
미국,59250,87.3,14.8,23.4,78.8
아르헨티나,13140,74.3,4.1,24.9,76.8
바하마,30580,80.6,5.7,10.7,73.6
볼리비아,3090,43.8,2,13.2,67.7
브라질,8680,67.5,2.2,13.2,74.8
칠레,13260,82.3,4.7,29.9,80.4
콜롬비아,5940,62.3,1.5,8.8,76.6
코스타리카,11500,71.6,1.7,9.1,79.4
쿠바,7950,57.1,2.3,18.7,77.5
에콰도르,5860,55.8,2.3,11.6,77
엘살바도르,3600,33.8,1,8.3,72.3
과테말라,4100,37.9,1,11,72.6
자메이카,4750,55.1,2.5,9.7,71.9
파나마,13750,60,2.5,5.3,77.8
파라과이,5370,61.1,1.2,12.1,73.6
페루,6060,50.5,1.7,8.7,75.9
알바니아,4290,62.4,1.8,23,79
오스트리아,45040,87.9,7.5,27.1,81.6
벨라루스,5320,74.4,5.9,30.9,74.5
벨기에,42520,87.7,8.2,23.9,81.4
불가리아,7610,63.4,6.2,39.4,74.8
크로아티아,12980,67.1,4.2,36.7,78.1
체코,18310,78.7,9.6,30.9,79
덴마크,56690,97.1,5.7,18.1,81.1
에스토니아,18760,88.1,12.7,30.5,78
핀란드,44840,87.5,7.8,22.2,81.5
프랑스,38320,80.5,4.7,33.6,82.5
독일,43760,84.4,8.9,22.5,80.9
그리스,17960,69.9,6.2,34.5,80.9
헝가리,13190,76.8,4.7,32.2,76
아이슬란드,60230,98.3,4.9,12.6,82.5
아일랜드,53350,84.1,7.9,21.4,81.9
이탈리아,31380,63.1,5.4,23.3,82.7
라트비아,14870,80.1,3.7,37.2,74.8
리투아니아,15280,77.6,4,32.3,75.4
룩셈부르크,75800,97.4,15.1,21.6,81.7
몰타,24710,81,3.2,24.5,83.6
네덜란드,47160,93.2,9.1,22.6,81.7
노르웨이,75650,96.4,7.1,17.1,82.6
폴란드,12730,76,8.2,24.7,77.7
포르투갈,20060,73.8,5.2,25.3,81.5
루마니아,10110,63.7,3.8,28.4,76
러시아,9210,76,11,27.1,73.4
슬로바키아,16620,81.6,6.2,31.5,77.2
슬로베니아,22140,78.9,6.8,22.3,81.1
스페인,27100,84.6,5.7,28.1,83
스웨덴,53030,93,3.8,24.8,82.4
스위스,81880,89.7,4.6,25.7,83.4
우크라이나,2360,58.9,3.9,26.2,74.7
영국,41880,90.4,5.6,16.1,81.2
몬테네그로,7410,71.3,3.6,31.8,76.9
세르비아,5570,70.3,6.7,40.1,76.2
알제리,3950,47.7,3.8,21,75.7
베냉,1090,18.7,0.6,7.2,59.9
카메룬,1390,23.2,0.4,7.5,60.8
이집트,3030,45,2.5,24.4,71.3
에티오피아,740,18.6,0.1,5.2,64.8
가나,1880,37.9,0.6,3.6,64
케냐,1510,17.8,0.4,11.5,62.5
라이베리아,640,16.3,0.3,8.4,60.6
마다가스카르,470,9.8,0.1,28.4,65.1
모로코,2880,61.8,1.8,14.9,73.7
나이지리아,2090,28,0.6,3.9,52.3
세네갈,1280,29.6,0.6,7.1,67.8
남아프리카공화국,5910,56.2,7.6,20.4,65.4
탄자니아,970,16,0.2,9.2,66
토고,720,12.4,0.3,7.1,60.2
튀니지,3750,55.5,2.6,25,75.8
잠비아,1300,12.2,0.4,14.6,62.1
짐바브웨,1350,24.4,0.7,12.1,60.7
오스트레일리아,51480,86.5,15.8,14,83
피지,5370,65.8,1.9,23.4,67.8
뉴질랜드,38870,87.7,6.8,14.2,82.2