국가,알콜,기대수명
대한민국,8.7,83.3
중국,5.3,77.2
인도,2.9,70.5
인도네시아,0.1,69.9
이스라엘,2.9,82.7
일본,7.2,84.2
튀르키예,1.4,77.1
캐나다,8.2,82
멕시코,4.7,74.1
미국,8.9,78.8
아르헨티나,8.3,76.8
브라질,6.3,74.8
칠레,5.7,80.4
콜롬비아,4.2,76.6
코스타리카,3.3,79.4
페루,5.8,75.9
오스트리아,11.3,81.6
벨기에,9.3,81.4
불가리아,10.9,74.8
크로아티아,9.7,78.1
체코,11.6,79
덴마크,9.7,81.1
에스토니아,10.3,78
핀란드,8.4,81.5
프랑스,11.7,82.5
독일,10.9,80.9
그리스,6.7,80.9
헝가리,10.7,76
아이슬란드,7.7,82.5
아일랜드,11,81.9
이탈리아,7.4,82.7
라트비아,12.6,74.8
리투아니아,12.3,75.4
룩셈부르크,11.3,81.7
네덜란드,8.3,81.7
노르웨이,6,82.6
폴란드,10.6,77.7
포르투갈,10.4,81.5
루마니아,10.1,76
러시아,11.1,73.4
슬로바키아,9.7,77.2
슬로베니아,10.1,81.1
스페인,10.8,83
스웨덴,7,82.4
스위스,9.2,83.4
영국,9.7,81.2
남아프리카공화국,7.3,65.4
오스트레일리아,9.5,83
뉴질랜드,8.8,82.2