국가,영아사망률,기대수명
세계,29.6,72.3
대한민국,2.7,83.3
아프가니스탄,49.4,63
아르메니아,11.4,74.9
아제르바이잔,20.2,72.2
바레인,6.3,79.7
방글라데시,28,71.8
부탄,25.6,70.8
브루나이,8.9,74.7
캄보디아,24.2,70.5
중국,7.6,77.2
키프로스,2.4,81.3
조지아,8.9,73.6
홍콩,1.3,84.9
인도,31.1,70.5
인도네시아,21.2,69.9
이란,12.2,76
이라크,23,70.4
이스라엘,3.2,82.7
일본,1.8,84.2
요르단,14,75.5
카자흐스탄,9.4,71.4
북한,15.3,73
쿠웨이트,7.4,79.8
키르기스스탄,17.8,70.6
라오스,39.2,67.4
레바논,6.6,79.7
마카오,2.7,84.6
말레이시아,7.1,75.5
몰디브,7.1,79.9
몽골,14.8,70.2
미얀마,38.1,65.8
네팔,26.6,68.9
오만,9.5,77.9
파키스탄,58.8,66.3
필리핀,23.9,71.5
카타르,6,80.7
사우디아라비아,6.9,77.2
싱가포르,2,83.2
스리랑카,6.9,75.4
시리아,18.5,68.5
대만,3.8,80.1
타지키스탄,30.4,69.9
태국,8.4,78.4
튀르키예,9.7,77.1
투르크메니스탄,36.5,68.9
아랍에미리트,6.1,79.5
우즈베키스탄,15,71
베트남,16.9,74
예멘,46.1,66
버뮤다,1.1,82.4
캐나다,4.5,82
그린란드,5.9,72.6
멕시코,12.8,74.1
생피에르미클롱,8.7,77.1
미국,5.7,78.8
안길라,8.1,75.9
앤티가바부다,5.8,78.3
아르헨티나,10.4,76.8
아루바,13.7,75.9
바하마,11.5,73.6
바베이도스,12.1,76.9
벨리즈,11.7,73.6
볼리비아,29.5,67.7
브라질,13.7,74.8
영국령버진아일랜드,17,74.8
케이맨제도,8.4,74.9
칠레,6.6,80.4
콜롬비아,12.4,76.6
코스타리카,7.4,79.4
쿠바,4.4,77.5
도미니카연방,35,67.5
도미니카공화국,28.3,73.1
에콰도르,12.2,77
엘살바도르,12.2,72.3
포클랜드,9.8,78.5
그레나다,13.6,74.8
과들루프,4.8,82.5
과테말라,21.7,72.6
가이아나,25.4,68.7
아이티,50.2,63.9
온두라스,15.2,72.7
자메이카,12.4,71.9
마르티니크,7.1,82.3
몬트세랫,12.2,75.2
니카라과,15.1,73.6
파나마,14.3,77.8
파라과이,17.5,73.6
페루,11.6,75.9
푸에르토리코,8.1,79.3
세인트키츠네비스,7.6,71.8
세인트루시아,13.2,73.1
세인트빈센트그레나딘,13.3,74.3
수리남,17.1,72.4
트리니다드토바고,16.2,74.2
터크스케이커스제도,7.1,76.7
미국령버진아일랜드,6.3,74.8
우루과이,6.1,77.6
베네수엘라,15.8,71.9
알바니아,8.4,79
안도라,5.9,83
오스트리아,2.9,81.6
벨라루스,2.7,74.5
벨기에,3.6,81.4
불가리아,6.3,74.8
크로아티아,3.7,78.1
체코,2.7,79
덴마크,3.7,81.1
에스토니아,2.6,78
페로제도,7.6,78
핀란드,2,81.5
프랑스,3.8,82.5
독일,3.2,80.9
지브롤터,9.9,81.8
그리스,3.8,80.9
헝가리,3.5,76
아이슬란드,2.7,82.5
아일랜드,2.8,81.9
맨섬,11.3,80.5
이탈리아,2.9,82.7
코소보,6.9,78.8
라트비아,3.7,74.8
리히텐슈타인,5.5,83.9
리투아니아,2.8,75.4
룩셈부르크,3.1,81.7
북마케도니아,7.5,76.5
몰타,6.5,83.6
몰도바,13,70.5
모나코,4.3,85.7
네덜란드,3.5,81.7
노르웨이,2.2,82.6
폴란드,4.1,77.7
포르투갈,2.6,81.5
루마니아,7.6,76
러시아,4.6,73.4
산마리노,2.8,82.9
슬로바키아,4.5,77.2
슬로베니아,1.9,81.1
스페인,2.7,83
스웨덴,2.4,82.4
스위스,3.6,83.4
우크라이나,6,74.7
영국,3.9,81.2
몬테네그로,2.3,76.9
세르비아,4.5,76.2
알제리,20.5,75.7
앙골라,54.9,61.7
베냉,60.6,59.9
보츠와나,36.2,66.8
부르키나파소,55,59.5
부룬디,42.8,61.6
카메룬,54.8,60.8
카보베르데,14.2,76.6
중앙아프리카공화국,79.3,53.7
차드,76.3,52.3
코모로,51.3,63.6
콩고,35.4,63.8
콩고민주공화국,58.6,59.4
코트디부아르,63.5,58.5
지부티,42.9,62.8
이집트,18.2,71.3
적도기니,64.1,60.8
에리트레아,32.2,66.6
에티오피아,39.6,64.8
가봉,32.6,66.2
감비아,34.5,63
가나,36.2,64
기니,70.1,59.1
기니비사우,57.5,60.1
케냐,33,62.5
레소토,70,53.1
라이베리아,63.7,60.6
리비아,10.9,72.5
마다가스카르,39.3,65.1
말라위,33.7,63
말리,62.1,59.1
모리타니,50.3,65.1
모리셔스,12.6,74.9
모로코,17.9,73.7
모잠비크,58.3,59.8
나미비아,31.6,62.3
니제르,47.3,62.2
나이지리아,79.4,52.3
레위니옹,5.4,81.7
르완다,32.7,65.9
상투메프린시페,15.2,68.3
세네갈,28.5,67.8
세이셸,12.5,73.8
시에라리온,82.1,58.7
소말리아,79.8,55.7
남아프리카공화국,23.4,65.4
남수단,63.9,55.3
세인트헬레나,12.7,76.3
수단,43.1,65.4
에스와티니,43.4,57.9
탄자니아,38.6,66
토고,49.6,60.2
튀니지,14.5,75.8
우간다,35.8,62.1
서사하라,28.8,69.9
잠비아,44.5,62.1
짐바브웨,38.7,60.7
미국령사모아,7.5,72.5
오스트레일리아,3.3,83
쿡아일랜드,7,74.4
피지,21.3,67.8
프랑스령폴리네시아,6.1,82.6
괌,11.6,77.2
키리바시,42.8,66.6
마셜제도,27.3,64.3
미크로네시아,22.3,71.5
나우루,17.8,63
뉴칼레도니아,11.6,79.5
뉴질랜드,3.6,82.2
니우에,22.6,70.5
북마리아나제도,7.1,76.8
팔라우,16.8,64.1
파푸아뉴기니,38,65.1
사모아,15.3,72.6
솔로몬제도,18,70
토켈라우제도,5.5,74.9
통가,10.4,70.7
투발루,20.2,64.1
바누아투,22.3,69.7
월리스푸투나제도,12.5,77.5